experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time
standard_experiment,30f18da0-8b33-4df4-a60a-1844c6c21cb6,0,0,2,A,0
standard_experiment,ce8a7057-0b17-4ede-86b5-5e029e4c7311,1,0,2,A,4
standard_experiment,c9846f38-afe5-47e8-998f-d50a4b471230,2,0,2,A,8
standard_experiment,30f18da0-8b33-4df4-a60a-1844c6c21cb6,0,1,3,B,17
standard_experiment,ce8a7057-0b17-4ede-86b5-5e029e4c7311,1,1,3,B,21
standard_experiment,c9846f38-afe5-47e8-998f-d50a4b471230,2,1,3,B,25
standard_experiment,30f18da0-8b33-4df4-a60a-1844c6c21cb6,0,2,4,C,40
standard_experiment,ce8a7057-0b17-4ede-86b5-5e029e4c7311,1,2,4,C,44
standard_experiment,c9846f38-afe5-47e8-998f-d50a4b471230,2,2,4,C,48
